,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
contig_21315_3,16,0.0,0.0,0.0,1.0,0.0,0.924,0.0,0.076,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,0.004,0.116
contig_21315_3,25,1.0,0.0,0.0,0.0,0.012,0.0,0.988,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.024,0.084,0.892,0.0
contig_21315_3,31,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.996,0.0,0.004
contig_21315_3,34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.888,0.016,0.096,0.0
contig_21315_3,37,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21315_3,40,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.96,0.028,0.0,0.012
contig_21315_3,41,0.0,0.0,1.0,0.0,0.0,0.288,0.712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.744,0.256,0.0
contig_21315_3,42,1.0,0.0,0.0,0.0,0.12,0.112,0.008,0.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012,0.76,0.0,0.228
contig_21315_3,46,0.0,1.0,0.0,0.0,0.0,0.304,0.696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.64,0.324,0.036
contig_21315_3,47,0.0,0.0,0.0,1.0,0.0,0.872,0.0,0.128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.136,0.0,0.864
contig_21315_3,48,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.732,0.268
contig_21315_3,49,0.0,0.0,1.0,0.0,0.148,0.004,0.848,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.976,0.0,0.024,0.0
contig_21315_3,52,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21315_3,55,0.0,0.0,0.0,1.0,0.0,0.464,0.0,0.536,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.584,0.0,0.416
