,Position,value
contig_20881_1,0,-0.0
contig_20881_1,1,-54.3903706197
contig_20881_1,2,-55.0388573669
contig_20881_1,3,-36.3413900659
contig_20881_1,4,-57.6879753449
contig_20881_1,5,-58.5928059097
contig_20881_1,6,62.9518561471
contig_20881_1,7,-29.0108044427
contig_20881_1,8,-35.2969474266
contig_20881_1,9,-23.0128162601
contig_20881_1,10,157.49020319
contig_20881_1,11,-55.0225225228
contig_20881_1,12,318.877907641
contig_20881_1,13,-56.8075755733
contig_20881_1,14,-58.1789276456
contig_20881_1,15,-46.4080548121
contig_20881_1,16,-53.3875620573
contig_20881_1,17,-60.8787759488
contig_20881_1,18,31.2898477392
contig_20881_1,19,11670.7219022
contig_20881_1,20,15.3929158724
contig_20881_1,21,1033.94837828
contig_20881_1,22,-63.4059767356
contig_20881_1,23,-65.3785308734
contig_20881_1,24,20394.4716369
contig_20881_1,25,-50.5689052162
contig_20881_1,26,-60.0985449711
contig_20881_1,27,342.994628652
contig_20881_1,28,-60.9772080601
contig_20881_1,29,-67.9260851038
contig_20881_1,30,-70.5856980115
contig_20881_1,31,-62.2278410839
contig_20881_1,32,37.7823591119
contig_20881_1,33,1571.70769022
contig_20881_1,34,158.176543177
contig_20881_1,35,-57.8312882239
contig_20881_1,36,645.64400232
contig_20881_1,37,-67.0746373753
contig_20881_1,38,-72.6631252243
contig_20881_1,39,-66.8424652447
contig_20881_1,40,-65.4550921438
contig_20881_1,41,54.2403711529
contig_20881_1,42,2946.73257495
contig_20881_1,43,-70.3922834575
contig_20881_1,44,-30.4587058605
contig_20881_1,45,145.850048617
contig_20881_1,46,-73.5332235681
contig_20881_1,47,-79.5590704834
contig_20881_1,48,322.796145604
contig_20881_1,49,-5.00220044734
contig_20881_1,50,-18.179901969
contig_20881_1,51,230.760104991
contig_20881_1,52,-67.7330443373
contig_20881_1,53,-29.4062331851
contig_20881_1,54,600.625461351
contig_20881_1,55,-50.1006807095
contig_20881_1,56,-81.7103586151
contig_20881_1,57,-36.4427966409
contig_20881_1,58,-90.2573685961
contig_20881_1,59,-25.6677566345
contig_20881_1,60,-13.7155589452
contig_20881_1,61,89.1239254372
contig_20881_1,62,-85.3900174917
contig_20881_1,63,430.063711828
contig_20881_1,64,-87.7452297012
contig_20881_1,65,-88.7128269984
contig_20881_1,66,135.418487281
contig_20881_1,67,-97.0101550746
contig_20881_1,68,-97.9227573508
contig_20881_1,69,-97.4734685705
contig_20881_1,70,-98.1351299582
contig_20881_1,71,-91.5340538321
contig_20881_1,72,-93.1218166745
contig_20881_1,73,339.662293266
contig_20881_1,74,-71.005111063
contig_20881_1,75,-16.4022453477
contig_20881_1,76,-92.192372051
contig_20881_1,77,-67.9771797662
contig_20881_1,78,698.400527575
contig_20881_1,79,-99.0345071114
contig_20881_1,80,-93.1200643306
contig_20881_1,81,52.6812209018
contig_20881_1,82,-91.9581559722
contig_20881_1,83,-80.1498966597
contig_20881_1,84,680.625285259
contig_20881_1,85,672.17172722
contig_20881_1,86,-71.3372340853
contig_20881_1,87,94.7290790256
contig_20881_1,88,-77.1607756751
contig_20881_1,89,-99.6578053291
contig_20881_1,90,3179.52543436
contig_20881_1,91,-93.6846833049
contig_20881_1,92,-99.7398324826
contig_20881_1,93,321.654965591
contig_20881_1,94,-93.3543392891
contig_20881_1,95,-93.5259019097
contig_20881_1,96,185.062535533
contig_20881_1,97,-93.3244339254
contig_20881_1,98,-91.2238259708
contig_20881_1,99,2482.44724886
contig_20881_1,100,-96.0587607821
contig_20881_1,101,-68.1920001603
contig_20881_1,102,5318.6735762
contig_20881_1,103,4117.35758537
contig_20881_1,104,-90.127090652
contig_20881_1,105,2081.54852278
contig_20881_1,106,-72.7902932967
contig_20881_1,107,-95.3533807583
contig_20881_1,108,874.156259147
contig_20881_1,109,-99.2890804755
contig_20881_1,110,-97.8951368804
contig_20881_1,111,867.205239868
contig_20881_1,112,255.978223252
contig_20881_1,113,-79.8191787439
contig_20881_1,114,10330.2297755
contig_20881_1,115,-106.596139637
contig_20881_1,116,-81.9728772958
contig_20881_1,117,106.468886354
contig_20881_1,118,-80.0948941873
contig_20881_1,119,-84.2831117251
contig_20881_1,120,14139.482955
contig_20881_1,121,-106.585898302
contig_20881_1,122,-84.6838749666
contig_20881_1,123,2617.42995715
contig_20881_1,124,-98.6799520305
contig_20881_1,125,-99.402929235
contig_20881_1,126,999.052383281
contig_20881_1,127,-86.0113921535
contig_20881_1,128,-90.9361411287
contig_20881_1,129,2466.39419535
contig_20881_1,130,-97.9202698545
contig_20881_1,131,-91.5139462377
contig_20881_1,132,1507.93428499
contig_20881_1,133,-86.1609282626
contig_20881_1,134,-76.5454191414
contig_20881_1,135,546.608158692
contig_20881_1,136,-85.831815551
contig_20881_1,137,-99.071933095
contig_20881_1,138,1443.2592899
contig_20881_1,139,-84.0067918704
contig_20881_1,140,-92.1245233225
contig_20881_1,141,424.670138613
contig_20881_1,142,-105.832153725
contig_20881_1,143,-92.3070395697
contig_20881_1,144,171.708532778
contig_20881_1,145,-93.1337433246
contig_20881_1,146,-56.531298712
contig_20881_1,147,20307.1373441
contig_20881_1,148,-87.9249637759
contig_20881_1,149,-99.278009653
contig_20881_1,150,12532.5495325
contig_20881_1,151,-92.5609430012
contig_20881_1,152,403.691133018
contig_20881_1,153,344.789428163
contig_20881_1,154,-93.6156914541
contig_20881_1,155,-108.566419095
contig_20881_1,156,12451.8797732
contig_20881_1,157,-87.8177292887
contig_20881_1,158,-100.936699751
contig_20881_1,159,2526.50604558
contig_20881_1,160,-106.576034745
contig_20881_1,161,-100.839122434
contig_20881_1,162,12634.4612955
contig_20881_1,163,-101.301512727
contig_20881_1,164,-91.2439327239
contig_20881_1,165,12713.6531864
contig_20881_1,166,179.637462831
contig_20881_1,167,-108.287996683
contig_20881_1,168,-101.394539816
contig_20881_1,169,10285.7573191
contig_20881_1,170,-89.1226573894
contig_20881_1,171,5940.41150866
contig_20881_1,172,-31.3817528317
contig_20881_1,173,-95.5697246375
contig_20881_1,174,1845.5114268
contig_20881_1,175,-107.370061674
contig_20881_1,176,-101.857891525
contig_20881_1,177,239.349717108
contig_20881_1,178,-100.791298086
contig_20881_1,179,-93.9276859746
contig_20881_1,180,6216.4450742
contig_20881_1,181,-105.548060023
contig_20881_1,182,-106.649156982
contig_20881_1,183,3308.72575612
contig_20881_1,184,-114.215893867
contig_20881_1,185,-94.3791926196
contig_20881_1,186,1767.33287045
contig_20881_1,187,-113.773586233
contig_20881_1,188,-67.7615748313
contig_20881_1,189,2859.94874152
contig_20881_1,190,-70.2567904036
contig_20881_1,191,-108.141972498
contig_20881_1,192,706.703511191
contig_20881_1,193,-8.44398916843
contig_20881_1,194,-119.629872132
contig_20881_1,195,38245.4105338
contig_20881_1,196,-121.601439092
contig_20881_1,197,-109.276374653
contig_20881_1,198,319.27824253
contig_20881_1,199,-122.293215616
contig_20881_1,200,425.112774272
contig_20881_1,201,20084.7041496
contig_20881_1,202,-133.064996255
contig_20881_1,203,-119.416790773
contig_20881_1,204,-31.1066623213
contig_20881_1,205,-146.90644895
contig_20881_1,206,-140.262116815
contig_20881_1,207,4394.83927294
contig_20881_1,208,-145.860994544
contig_20881_1,209,-138.491609636
contig_20881_1,210,14761.2788165
contig_20881_1,211,-138.136232627
contig_20881_1,212,-137.081043439
contig_20881_1,213,2550.00654716
contig_20881_1,214,-135.9064935
contig_20881_1,215,-112.868421906
contig_20881_1,216,3735.14753318
contig_20881_1,217,-118.166516468
contig_20881_1,218,-124.295240253
contig_20881_1,219,881.951039619
contig_20881_1,220,-73.5794854748
contig_20881_1,221,-132.663636933
contig_20881_1,222,661.598557037
contig_20881_1,223,-23.2387927175
contig_20881_1,224,-95.1609044523
contig_20881_1,225,20339.2433053
contig_20881_1,226,20987.892873
contig_20881_1,227,-89.6539214749
contig_20881_1,228,756.604505868
contig_20881_1,229,-96.6125303557
contig_20881_1,230,-103.244982311
contig_20881_1,231,3428.16886612
contig_20881_1,232,-95.3919436285
contig_20881_1,233,-68.0867471823
contig_20881_1,234,891.920150439
contig_20881_1,235,-87.4864736543
contig_20881_1,236,-74.14015513
contig_20881_1,237,-58.2532783189
contig_20881_1,238,-59.7849396017
contig_20881_1,239,-109.856513626
contig_20881_1,240,2267.73170097
contig_20881_1,241,-93.9835056759
contig_20881_1,242,-93.9322118456
contig_20881_1,243,-24.1292167078
contig_20881_1,244,-100.267863021
contig_20881_1,245,-75.9222420544
contig_20881_1,246,17512.9612843
contig_20881_1,247,-89.5220299642
contig_20881_1,248,-100.931422026
contig_20881_1,249,-76.2856813572
contig_20881_1,250,-102.343980639
contig_20881_1,251,-94.5776195205
contig_20881_1,252,-101.534307899
contig_20881_1,253,-108.807677804
contig_20881_1,254,-86.7937378045
contig_20881_1,255,2644.8730577
contig_20881_1,256,-101.019889962
contig_20881_1,257,-84.0768026073
contig_20881_1,258,20565.6932271
contig_20881_1,259,-75.2070036147
contig_20881_1,260,-75.3243039882
contig_20881_1,261,3243.7985151
contig_20881_1,262,-94.7221484599
contig_20881_1,263,-90.5427642973
contig_20881_1,264,744.851372449
contig_20881_1,265,-105.496877054
contig_20881_1,266,-105.268435973
contig_20881_1,267,553.546407289
contig_20881_1,268,-97.2094575416
contig_20881_1,269,-99.3539903729
contig_20881_1,270,2691.37849983
contig_20881_1,271,-110.032704694
contig_20881_1,272,-110.991916605
contig_20881_1,273,1780.77653886
contig_20881_1,274,-103.539438984
contig_20881_1,275,-107.196809699
contig_20881_1,276,3889.76606759
contig_20881_1,277,-119.120100718
contig_20881_1,278,-110.369937058
contig_20881_1,279,5507.32333118
contig_20881_1,280,-79.912352254
contig_20881_1,281,-130.673788542
contig_20881_1,282,6967.95950139
contig_20881_1,283,-111.519423912
contig_20881_1,284,-108.69752649
contig_20881_1,285,758.037067354
contig_20881_1,286,-123.466433659
contig_20881_1,287,-117.21915938
contig_20881_1,288,2577.28588372
contig_20881_1,289,-102.06462752
contig_20881_1,290,-122.047748499
contig_20881_1,291,2035.38937028
contig_20881_1,292,-105.289394039
contig_20881_1,293,-121.806559992
contig_20881_1,294,15429.2264636
contig_20881_1,295,-110.493094937
contig_20881_1,296,-111.918943981
contig_20881_1,297,12437.1996206
contig_20881_1,298,-115.243012902
contig_20881_1,299,-115.939409672
contig_20881_1,300,418.866105266
contig_20881_1,301,-111.181207501
contig_20881_1,302,-46.1772494374
contig_20881_1,303,-6.81412368812
contig_20881_1,304,-70.7389018537
contig_20881_1,305,-102.79818738
contig_20881_1,306,342.276779317
contig_20881_1,307,7107.01353115
contig_20881_1,308,-94.2033687705
contig_20881_1,309,-81.8184615211
contig_20881_1,310,-87.4302331254
contig_20881_1,311,-94.3456648397
contig_20881_1,312,2140.82327268
contig_20881_1,313,-85.8655188357
contig_20881_1,314,6561.61064933
contig_20881_1,315,3315.6651505
contig_20881_1,316,-89.8639380775
contig_20881_1,317,-81.9085881635
contig_20881_1,318,163.991236346
contig_20881_1,319,-90.5854507938
contig_20881_1,320,-82.4903593289
contig_20881_1,321,-89.9202386398
contig_20881_1,322,-60.8223687792
contig_20881_1,323,-89.9213019535
contig_20881_1,324,-82.0785020052
contig_20881_1,325,-76.1924862864
contig_20881_1,326,238.603933961
contig_20881_1,327,107.175266324
contig_20881_1,328,-21.3270997029
contig_20881_1,329,-68.6093631526
contig_20881_1,330,258.241358733
contig_20881_1,331,-73.2296170467
contig_20881_1,332,-85.8950928436
contig_20881_1,333,5602.41703723
contig_20881_1,334,-72.0890572191
contig_20881_1,335,-27.897823771
contig_20881_1,336,258.19763535
contig_20881_1,337,-68.2927562793
contig_20881_1,338,-68.954622175
contig_20881_1,339,697.985483547
contig_20881_1,340,2.42546468695
contig_20881_1,341,-86.9674136506
contig_20881_1,342,20791.6688959
contig_20881_1,343,-71.8557664745
contig_20881_1,344,-64.0227570766
contig_20881_1,345,1068.6792404
contig_20881_1,346,-71.1384477503
contig_20881_1,347,-80.6464394624
contig_20881_1,348,13752.5909223
contig_20881_1,349,-81.3964569675
contig_20881_1,350,-64.1267258402
contig_20881_1,351,-73.996043039
contig_20881_1,352,-87.0854107735
contig_20881_1,353,-72.4599923446
contig_20881_1,354,14003.8104407
contig_20881_1,355,-85.3949297962
contig_20881_1,356,-85.8825840452
contig_20881_1,357,15354.9235704
contig_20881_1,358,-75.8539122581
contig_20881_1,359,-95.498550835
contig_20881_1,360,1558.45886637
contig_20881_1,361,-75.7778842199
contig_20881_1,362,-88.8183299478
contig_20881_1,363,8862.5179756
contig_20881_1,364,-76.8001036715
contig_20881_1,365,-96.0901731719
contig_20881_1,366,389.440758595
contig_20881_1,367,-74.2631100742
contig_20881_1,368,-82.7689683519
contig_20881_1,369,-88.2373734704
contig_20881_1,370,-80.596182321
contig_20881_1,371,-73.1562294529
contig_20881_1,372,10725.7855057
contig_20881_1,373,-85.8711192962
contig_20881_1,374,-67.767108507
contig_20881_1,375,14553.0875249
contig_20881_1,376,-71.3284265646
contig_20881_1,377,-78.3869307257
contig_20881_1,378,461.887082479
contig_20881_1,379,-86.7792222065
contig_20881_1,380,-87.6081379765
contig_20881_1,381,14710.960954
contig_20881_1,382,-77.711045488
contig_20881_1,383,-63.6770971431
contig_20881_1,384,2671.47939675
contig_20881_1,385,46.6310993596
contig_20881_1,386,-80.8525444006
contig_20881_1,387,-48.7790093993
contig_20881_1,388,-72.9149327609
contig_20881_1,389,-72.8850560142
contig_20881_1,390,8543.60947431
contig_20881_1,391,-8.49957646458
contig_20881_1,392,-88.0503105994
contig_20881_1,393,2452.29281208
contig_20881_1,394,-76.4985302852
contig_20881_1,395,-74.2413040086
contig_20881_1,396,85.1859573985
contig_20881_1,397,-87.5798098544
contig_20881_1,398,-81.8495542764
contig_20881_1,399,1258.45080093
contig_20881_1,400,-80.0092795128
contig_20881_1,401,-69.3904973243
contig_20881_1,402,1195.07178878
contig_20881_1,403,-88.8749221109
contig_20881_1,404,-90.4185286839
contig_20881_1,405,19196.2526441
contig_20881_1,406,94.5222113936
contig_20881_1,407,-69.3505836245
contig_20881_1,408,-58.9009448414
contig_20881_1,409,-98.7753364841
contig_20881_1,410,-70.1899410739
contig_20881_1,411,9938.95546765
contig_20881_1,412,-92.6343610828
contig_20881_1,413,-85.4133677226
contig_20881_1,414,429.675065592
contig_20881_1,415,-86.2227917188
contig_20881_1,416,-86.402334485
contig_20881_1,417,11982.8534377
contig_20881_1,418,-80.6913670091
contig_20881_1,419,-93.6218130815
contig_20881_1,420,165.312248707
contig_20881_1,421,-87.0764275618
contig_20881_1,422,-71.4282790168
contig_20881_1,423,381.679527482
contig_20881_1,424,-87.9811477209
contig_20881_1,425,-93.2583235139
contig_20881_1,426,3720.76738141
contig_20881_1,427,-93.2978225328
contig_20881_1,428,-54.4770862655
contig_20881_1,429,605.834864347
contig_20881_1,430,-74.1281888668
contig_20881_1,431,-49.6013039646
contig_20881_1,432,413.853815268
contig_20881_1,433,-72.5744412001
contig_20881_1,434,-73.7732040495
contig_20881_1,435,-83.6767347313
contig_20881_1,436,-85.4420737379
contig_20881_1,437,-90.6119990573
contig_20881_1,438,792.94155554
contig_20881_1,439,-90.3707180198
contig_20881_1,440,-90.8371998879
contig_20881_1,441,-12.2233899225
contig_20881_1,442,-76.7964870703
contig_20881_1,443,-91.834507245
contig_20881_1,444,323.35499565
contig_20881_1,445,-65.8069717654
contig_20881_1,446,-46.3553637316
contig_20881_1,447,46.3284892751
contig_20881_1,448,-54.6580195183
contig_20881_1,449,-92.8039481038
contig_20881_1,450,8584.99095655
