,Position,value
contig_18057_68,0,-0.160854846186
contig_18057_68,1,-0.160807218975
contig_18057_68,2,-0.160854846186
contig_18057_68,3,-0.16070476951
contig_18057_68,4,-0.16070476951
contig_18057_68,5,-0.160819721986
contig_18057_68,6,-0.160819721986
contig_18057_68,7,-0.140747990412
contig_18057_68,8,-0.140717256738
contig_18057_68,9,-0.140717256738
contig_18057_68,10,-0.140616673321
contig_18057_68,11,-0.140717256738
contig_18057_68,12,-0.140717256738
contig_18057_68,13,-0.140717256738
contig_18057_68,14,-0.160854846186
contig_18057_68,15,18.7334726229
contig_18057_68,16,-0.160807218975
contig_18057_68,17,-0.160819721986
contig_18057_68,18,-0.160854846186
contig_18057_68,19,-0.16070476951
contig_18057_68,20,-0.160807218975
contig_18057_68,21,8.89138188563
contig_18057_68,22,-0.180908121347
contig_18057_68,23,-0.180908121347
contig_18057_68,24,-0.180908121347
contig_18057_68,25,-0.180922187234
contig_18057_68,26,-0.180961701959
contig_18057_68,27,8.81444369356
contig_18057_68,28,-0.201068557732
contig_18057_68,29,-0.201024652482
contig_18057_68,30,-0.201024652482
contig_18057_68,31,-0.201024652482
contig_18057_68,32,-0.180792865698
contig_18057_68,33,8.92780502111
contig_18057_68,34,-0.180922187234
contig_18057_68,35,-0.180961701959
contig_18057_68,36,-0.180792865698
contig_18057_68,37,-0.180792865698
contig_18057_68,38,-0.180961701959
contig_18057_68,39,8.64188322758
contig_18057_68,40,-0.180908121347
contig_18057_68,41,-0.180908121347
contig_18057_68,42,27.406426353
contig_18057_68,43,-0.180908121347
contig_18057_68,44,-0.180922187234
contig_18057_68,45,9.28360045063
contig_18057_68,46,-0.160854846186
contig_18057_68,47,-0.180961701959
contig_18057_68,48,41.3836767879
contig_18057_68,49,-0.180922187234
contig_18057_68,50,-0.180792865698
contig_18057_68,51,41.3836767879
contig_18057_68,52,-0.180792865698
contig_18057_68,53,-0.180792865698
contig_18057_68,54,33.2845110621
contig_18057_68,55,-0.180922187234
contig_18057_68,56,-0.180908121347
contig_18057_68,57,-0.180792865698
contig_18057_68,58,-0.180961701959
contig_18057_68,59,-0.160819721986
contig_18057_68,60,-0.160819721986
contig_18057_68,61,-0.160819721986
contig_18057_68,62,-0.180792865698
contig_18057_68,63,25.7608927407
contig_18057_68,64,-0.180908121347
contig_18057_68,65,-0.180961701959
contig_18057_68,66,-0.180922187234
contig_18057_68,67,-0.180908121347
contig_18057_68,68,-0.180922187234
contig_18057_68,69,33.4044049427
contig_18057_68,70,-0.180792865698
contig_18057_68,71,-0.180908121347
contig_18057_68,72,39.4436698503
contig_18057_68,73,-0.180792865698
contig_18057_68,74,-0.180908121347
contig_18057_68,75,-0.180922187234
contig_18057_68,76,-0.180908121347
contig_18057_68,77,-0.180908121347
contig_18057_68,78,-0.180961701959
contig_18057_68,79,-0.180792865698
contig_18057_68,80,-0.180961701959
contig_18057_68,81,-0.160819721986
contig_18057_68,82,-0.160807218975
contig_18057_68,83,28.2755817005
contig_18057_68,84,-0.180922187234
contig_18057_68,85,-0.180792865698
contig_18057_68,86,-0.180908121347
contig_18057_68,87,10.0602268843
contig_18057_68,88,-0.261311730835
contig_18057_68,89,-0.261389125052
contig_18057_68,90,-0.281233346642
contig_18057_68,91,-0.281495980825
contig_18057_68,92,-0.321709692371
contig_18057_68,93,-0.341497635208
contig_18057_68,94,-0.361844374468
contig_18057_68,95,-0.361585731397
contig_18057_68,96,46.2329188173
contig_18057_68,97,-0.46202621234
contig_18057_68,98,-0.482421656926
contig_18057_68,99,-0.482421656926
contig_18057_68,100,-0.502202404717
contig_18057_68,101,-0.50267139433
contig_18057_68,102,-0.502202404717
contig_18057_68,103,-0.502561631206
contig_18057_68,104,-0.502202404717
contig_18057_68,105,-0.502561631206
contig_18057_68,106,-0.502522559298
contig_18057_68,107,-0.50267139433
contig_18057_68,108,-0.502202404717
contig_18057_68,109,-0.562466693284
contig_18057_68,110,-0.562869026951
contig_18057_68,111,37.1422500671
contig_18057_68,112,31.0680316872
contig_18057_68,113,-0.583098817423
contig_18057_68,114,82.3922809698
contig_18057_68,115,30.4787765608
contig_18057_68,116,-0.623312528969
contig_18057_68,117,114.058520298
contig_18057_68,118,-0.642819078038
contig_18057_68,119,-0.663329778273
contig_18057_68,120,4.08479532124
contig_18057_68,121,-0.662907174227
